"month","id","group","KDE_value","hr_area_ha"
"May","Guareí - May","Guareí","KDE95",40.5147987385151
"May","Guareí - May","Guareí","KDE50",7.68631899865931
"Jun","Guareí - Jun","Guareí","KDE95",43.4725659402047
"Jun","Guareí - Jun","Guareí","KDE50",14.5345116656153
"Jul","Guareí - Jul","Guareí","KDE95",45.1467277119373
"Jul","Guareí - Jul","Guareí","KDE50",16.4176822795556
"Aug","Guareí - Aug","Guareí","KDE95",46.2063185222208
"Aug","Guareí - Aug","Guareí","KDE50",14.9086942669117
"Mar","SantaMaria - Mar","SantaMaria","KDE95",68.0693103043008
"Mar","SantaMaria - Mar","SantaMaria","KDE50",15.7615371684863
"Apr","SantaMaria - Apr","SantaMaria","KDE95",65.8978074684436
"Apr","SantaMaria - Apr","SantaMaria","KDE50",14.2189671464064
"May","SantaMaria - May","SantaMaria","KDE95",92.469644180504
"May","SantaMaria - May","SantaMaria","KDE50",24.9229017209664
"Sep","Suzano - Sep","Suzano","KDE95",6.46947675484464
"Sep","Suzano - Sep","Suzano","KDE50",2.16184654090111
"Dec","Suzano - Dec","Suzano","KDE95",10.785096671577
"Dec","Suzano - Dec","Suzano","KDE50",3.3757048625235
"Feb","Suzano - Feb","Suzano","KDE95",29.0782938171727
"Feb","Suzano - Feb","Suzano","KDE50",11.0642412514881
"Apr","Suzano - Apr","Suzano","KDE95",14.9646996656278
"Apr","Suzano - Apr","Suzano","KDE50",5.07092147456408
"Dec_2017","Taquara - Dec_2017","Taquara","KDE95",321.053895374283
"Dec_2017","Taquara - Dec_2017","Taquara","KDE50",92.0188810494402
"Jan","Taquara - Jan","Taquara","KDE95",307.720520541488
"Jan","Taquara - Jan","Taquara","KDE50",96.1831765487244
"May","Taquara - May","Taquara","KDE95",89.5188997059759
"May","Taquara - May","Taquara","KDE50",26.0268829177019
"Jul","Taquara - Jul","Taquara","KDE95",250.160313103418
"Jul","Taquara - Jul","Taquara","KDE50",86.892523214217
"Sep","Taquara - Sep","Taquara","KDE95",77.5424361286092
"Sep","Taquara - Sep","Taquara","KDE50",21.8521767967498
