"x";"y";"point";"species";"id_month";"id_nday";"id_point_mon";"date";"hours";"POSIXct";"elevation";"behavior"
"781969.8024";"7407899.62";"DG03";"";"may";"may006";"may565";"16/05/2019";"17:00:46";"16/05/19 17:00:46";"676.32";"sleeping"
"781654.2586";"7408124.226";"DG12";"";"june";"jun002";"jun208";"11/06/2019";"15:35:00";"11/06/19 15:35:00";"705.903259";"sleeping"
"781889.6917";"7407551.245";"DG14";"";"june";"jun006";"jun664";"15/06/2019";"16:35:26";"15/06/19 16:35:26";"650.863037";"sleeping"
"781648.1366";"7407820.327";"DG15";"";"june";"jun007";"jun770";"17/06/2019";"15:50:16";"17/06/19 15:50:16";"667.938293";"sleeping"
"781924.0909";"7407921.668";"DG16";"";"july";"jul002";"jul213";"12/07/2019";"17:30:00";"12/07/19 17:30:00";"664.886719";"sleeping"
"781868.1726";"7408083.224";"DG17";"";"july";"jul003";"jul317";"13/07/2019";"16:25:18";"13/07/19 16:25:18";"698.564026";"sleeping"
"781987.2794";"7407573.102";"DG19";"";"july";"jul005";"jul527";"16/07/2019";"17:05:39";"16/07/19 17:05:39";"665.692627";"sleeping"
"782073.8524";"7407932.874";"DG20";"";"july";"jul006";"jul627";"17/07/2019";"16:15:29";"17/07/19 16:15:29";"688.705811";"sleeping"
"781773.1339";"7408007.898";"DG21";"";"july";"jul009";"jul954";"20/07/2019";"16:50:26";"20/07/19 16:50:26";"692.659851";"sleeping"
"781879.2177";"7408115.593";"DG23";"";"august";"aug001";"aug115";"11/08/2019";"16:55:00";"11/08/19 16:55:00";"714.785034";"sleeping"
"782134.6665";"7407605.079";"DG18";"";"august";"aug002";"aug234";"12/08/2019";"16:55:00";"12/08/19 16:55:00";"671.121094";"sleeping"
"782024.1219";"7407526.281";"DG24";"";"august";"aug003";"aug350";"13/08/2019";"16:50:19";"13/08/19 16:50:19";"674.908447";"sleeping"
"781724.2994";"7407588.552";"DG22";"";"august";"aug004";"aug454";"14/08/2019";"16:10:32";"14/08/19 16:10:32";"651.830872";"sleeping"
"781766.1345";"7408080.299";"DG25";"";"august";"aug005";"aug556";"15/08/2019";"16:20:56";"15/08/19 16:20:56";"710.544556";"sleeping"
"781885.3271";"7408012.403";"DG26";"";"august";"aug006";"aug638";"19/08/2019";"14:10:12";"19/08/19 14:10:12";"687.056519";"sleeping"
